SecurityCode,Symbol,SecurityName,ISINNo,Sector,Industry,Exchange,Currency,GICS,Country
539875,RSDFIN,RSD Finance Ltd,INE616F01022,Financial Services,Financial Services,NSE,INR,40201020,India
530179,RSCINT,RSC INTERNATIONAL LTD.,INE015F01019,Consumer Discretionary,Textiles,NSE,INR,25203030,India
531307,RRIL,RRIL Ltd,INE951M01037,Consumer Discretionary,Textiles,NSE,INR,25203030,India
531667,RRMETAL,RR MetalMakers India Ltd,INE117K01013,Commodities,Metals & Mining,NSE,INR,151040,India
542333,RPSGVENT,RPSG Ventures Ltd,INE425Y01011,Services,Services,NSE,INR,20201040,India
533284,RPPINFRA,RPP INFRA PROJECTS LTD.,INE324L01013,Industrials,Construction,NSE,INR,20103010,India
532983,RPGLIFE,RPG LIFE SCIENCES LTD.,INE105J01010,Healthcare,Healthcare,NSE,INR,35,India
526640,RAYALEMA,ROYALE MANOR HOTELS & INDUSTRIES LTD.,INE008C01011,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
532699,ROHLTD,ROYAL ORCHID HOTELS LTD.,INE283H01019,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
512047,ROYALIND,Royal India Corporation Limited,INE510H01015,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
526193,ROYALCU,ROYAL CUSHION VINYL PRODUCTS LTD.-$,INE618A01011,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
543228,ROUTE,Route Mobile Ltd,INE450U01017,Telecommunication,Telecommunication,NSE,INR,5010,India
517500,ROTO,ROTO PUMPS LTD.,INE535D01029,Industrials,Capital Goods,NSE,INR,40203030,India
533168,ROSSELLIND,ROSSELL INDIA LTD.,INE847C01020,Industrials,Capital Goods,NSE,INR,40203030,India
543213,ROSSARI,Rossari Biotech Ltd,INE02A801020,Commodities,Chemicals,NSE,INR,15101010,India
531324,ROSELABS,ROSELABS FINANCE LTD.,INE475C01012,Financial Services,Financial Services,NSE,INR,40201020,India
542599,ROOPSHRI,Roopshri Resorts Ltd,INE03WT01017,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
530991,ROOPAIND,ROOPA INDUSTRIES LTD.,INE443C01010,Healthcare,Healthcare,NSE,INR,35,India
542145,RONI,Roni Households Ltd,INE02AP01013,Services,Services,NSE,INR,20201040,India
500366,ROLTA,ROLTA INDIA LTD.,INE293A01013,Information Technology,Information Technology,NSE,INR,45,India
502448,ROLLT,ROLLATAINERS LTD.,INE927A01040,Industrials,Capital Goods,NSE,INR,40203030,India
543325,ROLEXRINGS,Rolex Rings Ltd,INE645S01016,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
505807,ROLCOEN,ROLCON ENGINEERING CO.LTD.,INE775R01013,Industrials,Capital Goods,NSE,INR,40203030,India
531822,RODIUM,Rodium Realty Limited,INE513E01024,Consumer Discretionary,Realty,NSE,INR,2550,India
540358,RMC,RMC Switchgears Ltd,INE655V01019,Industrials,Capital Goods,NSE,INR,40203030,India
512618,RLF,RLF LTD.,INE629C01014,Consumer Discretionary,Textiles,NSE,INR,25203030,India
511169,RKDAGRRTL,RKD Agri & Retail Ltd,INE552N01023,Financial Services,Financial Services,NSE,INR,40201020,India
540843,RITHWIKFMS,Rithwik Facility Management Services Ltd,INE819Y01015,Services,Services,NSE,INR,20201040,India
526407,RPIL,RITESH PROPERTIES & INDUSTRIES LTD.,INE299D01022,Consumer Discretionary,Realty,NSE,INR,2550,India
519097,RITESHIN,RITESH INTERNATIONAL LTD.,INE534D01014,Commodities,Chemicals,NSE,INR,15101010,India
